Nama;Rasio;Satuan;Fasilitas;Tahun
Mister;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
kasa;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Rolmeter;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Jangka Sorong;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Papan Tulis;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Botol Zat;24;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gelas Kimia;12;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Botol Semprot;15;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Ph Meter;2;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Kaca Arlogi;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Alat Pemadam Kebakaran;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Peralatan P3K;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Buret + Klem;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Statif dan klem;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Centrifure;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Barometer;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Termometer;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Model Molekul;6;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Labu Takar volume 50 ml;50;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Corong Diameter 5 cm;30;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Mortar;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Corong Pisah;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Alat Destilasi;2;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gelas Kimia 500 ml;3;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Pipet Tetes;50;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Laboratorium Komputer;1;Ruangan;Ruang Laboratorium Komputer;2018
Kursi Siswa;1;Buah per Siswa;Ruang Laboratorium Komputer;2018
Meja Siswa;1;Buah per dua siswa;Ruang Laboratorium Komputer;2018
Meja Guru;1;Buah;Ruang Laboratorium Komputer;2018
Kursi Guru;1;Buah;Ruang Laboratorium Komputer;2018
Komputer;1;Unit per dua siswa;Ruang Laboratorium Komputer;2018
Papan Tulis;1;Buah;Ruang Laboratorium Komputer;2018
Tempat Sampah;1;Buah;Ruang Laboratorium Komputer;2018
Kursi Pimpinan;1;Buah;Ruang Pimpinan;2018
Meja Pimpinan;1;Buah;Ruang Pimpinan;2018
Kursi dan Meja Tamu;1;Set;Ruang Pimpinan;2018
Lemari;1;Buah;Ruang Pimpinan;2018
Papan Statistik;1;Buah;Ruang Pimpinan;2018
Simbol Kenegaraan;1;Set;Ruang Pimpinan;2018
Tempat Sampah;1;Buah;Ruang Pimpinan;2018
Ruang Kuriulum;1;Ruangan;Ruangan Kurikulum;2018
Kursi Kerja;1;Buah per Petugas;Ruangan Kurikulum;2018
Meja Kerja;1;Buah Per Petugas;Ruangan Kurikulum;2018
Printer;1;Unit;Ruangan Kurikulum;2018
Lemari;5;Buah;Ruangan Kurikulum;2018
Ruang Guru dan Wakil Kepala;2;Ruangan;Ruang Guru;2018
Kursi Kerja;1;Buah Per Guru;Ruang Guru;2018
Meja Kursi;1;Buah Per Guru;Ruang Guru;2018
Lemari;1;Buah Per Ruangan;Ruang Guru;2018
Papan Pengumuman;1;Buah;Ruang Guru;2018
Tempat Sampah;1;Buah;Ruang Guru;2018
Jam Dinding;1;Buah;Ruang Guru;2018
Kursi Kerja;1;Buah;Ruang Bendahara;2018
Lemari;1;Buah;Ruang Bendahara;2018
Jam Dinding;1;Buah;Ruang Bendahara;2018
Meja Kerja;1;Buah;Ruang Bendahara;2018
Ruang Administrasi;2;Ruangan;Ruang Administrasi;2018
Kursi Kerja;1;Buah Per Petugas;Ruang Administrasi;2018
Meja Kursi;1;Buah Per Petugas;Ruang Administrasi;2018
Lemari;3;Buah;Ruang Administrasi;2018
Printer;2;Unit;Ruang Administrasi;2018
Komputer;2;Buah ;Ruang Administrasi;2018
Tempat Sampah;2;Buah;Ruang Administrasi;2018
Telepon;2;Buah;Ruang Administrasi;2018
Jam Dinding;2;Buah;Ruang Administrasi;2018
Sajadah;20;Buah;Aula dan Tempat Ibadah;2018
Kipas Angin;4;Unit;Aula dan Tempat Ibadah;2018
Meja Kerja;1;buah;Ruang Konseling;2018
Kursi Kerja;1;Buah;Ruang Konseling;2018
Kursi Tamu;2;Buah;Ruang Konseling;2018
Lemari;1;Buah;Ruang Konseling;2018
Papan Kegiatan;1;Buah;Ruang Konseling;2018
Instrumen Konseling;1;Set;Ruang Konseling;2018
Buku Sumber;1;Set;Ruang Konseling;2018
Jam Dinding;1;Buah;Ruang Konseling;2018
Tempat Tidur;1;Set;Ruang UKS;2018
Lemari;1;Buah;Ruang UKS;2018
Meja;1;Buah;Ruang UKS;2018
Kursi;1;Buah;Ruang UKS;2018
Selimut;1;Buah;Ruang UKS;2018
Perlengkapan P3K;1;Set;Ruang UKS;2018
Tempat Sampah;1;Buah;Ruang UKS;2018
Jam Dinding;1;Buah;Ruang UKS;2018
Meja;1;Buah;Ruang Organisasi;2018
Kursi;4;Buah;Ruang Organisasi;2018
Papan Tulis;1;Buah;Ruang Organisasi;2018
Lemari;1;Buah;Ruang Organisasi;2018
Jam Dinding;1;Buah;Ruang Organisasi;2018
Toilet Siswa wanita;1;Unit;Toilet;2018
Toilet Siswa Pria;1;Unit;Toilet;2018
Toilet Guru dan Karyawan;1;Unit;Toilet;2018
Gudang;1;Unit;Gudang;2018
Bendera dan Tiang Bendera;1;Set;Tempat Bermain Kesenian dan Upacara;2018
Peralatan Olahraga;1;Set;Tempat Bermain Kesenian dan Upacara;2018
Kantin;1;Unit;Kantin;2018
Tempat Parkir;2;Unit;Parkir;2018
