Nama;Rasio;Satuan;Fasilitas;Tahun
Ruang Belajar;12;Ruangan;Ruang Belajar;2018
Kursi Siswa;1;Buah Per Siswa;Ruang Belajar;2018
Meja Siswa;1;Buah Per Siswa;Ruang Belajar;2018
Kursi Guru;1;Buah Per Ruangan;Ruang Belajar;2018
Lemari;1;Buah Per Ruangan;Ruang Belajar;2018
Papan Tulis;1;Buah Per Ruangan;Ruang Belajar;2018
Tempat Sampah;1;Buah Per Ruangan;Ruang Belajar;2018
Stop Kontak;1;Buah Per Ruangan;Ruang Belajar;2018
Perpustakaan;1;Ruangan;Ruang Perpustakaan;2018
Buku Teks Pelajaran;1;Buku Per Mata Pelajaran Per Siswa;Ruang Perpustakaan;2018
Buku Teks Pelajaran;2;Buku Per Mata Pelajaran Per Sekolah;Ruang Perpustakaan;2018
Buku Panduan Guru;1;Buku Per Mata Pelajaran;Ruang Perpustakaan;2018
Buku Pengayaan;870;Judul Per Sekolah;Ruang Perpustakaan;2018
Buku Referensi;30;Judul Per Sekolah;Ruang Perpustakaan;2018
Sumber Belajar Lain;30;Judul Per Sekolah;Ruang Perpustakaan;2018
Meja Kerja;1;Buah Per Petugas;Ruang Perpustakaan;2018
Lemari Katalog;1;Buah Per Sekolah;Ruang Perpustakaan;2018
Lemari;1;Buah Per Sekolah;Ruang Perpustakaan;2018
Rak Buku;1;Set Per Sekolah;Ruang Perpustakaan;2018
Meja Baca;10;Buah Per Sekolah;Ruang Perpustakaan;2018
Kursi Baca;10;Buah Per Sekolah;Ruang Perpustakaan;2018
Kursi Kerja;1;Buah Per Petugas;Ruang Perpustakaan;2018
Tempat Sampah;1;Buah Per Ruangan;Ruang Perpustakaan;2018
Stop Kontak;1;Buah Per Ruangan;Ruang Perpustakaan;2018
Rak Surat Kabar;1;Buah;Ruang Perpustakaan;2018
Rak Majalah;1;Buah;Ruang Perpustakaan;2018
Buku Inventaris;1;Buah;Ruang Perpustakaan;2018
Jam Dinding;1;Buah Per Ruangan;Ruang Perpustakaan;2018
Laboratorium Fisika Kimia dan Biologi;1;Ruangan;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Kursi;1;Buah Per Siswa;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Meja;1;Buah Per 3 Siswa;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Lemari Alat;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Lemari Bahan;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Model Kerangka Manusia;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Model Tubuh Manusia;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Preparat Mitosis;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Preparat Meiosis;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Preparat Anatomi Tumbuhan;6;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Preparat  Anatomi Hewan;6;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar Kromosom;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar DNA;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar RNA;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar Pewarisan Model;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar contoh tumbuh dari berbagai divisi;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar contoh hewan dari berbagai filum;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gambar/model sistem pencernaan manusia;1;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Mikroskop streo binokuler;6;buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Stop watch;6;buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Tabung Reaksi;6;Kotak;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Erlenmeter;10;buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
kotak preparat;6;buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
perangkat pemeliharaan mikroskop;2;set;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Bosshead;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Pembakar spiritus;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
respirometer;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gelas benda;6;pak;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Gelas arlogi;2;pak;Ruang Laboratorium Fisika Kimia dan Biologi;2018
Mikroskop Monokuler;2;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2018
