Nama;Rasio;Satuan;Keterangan;Tahun
Tempat Sampah;1;Buah;Ruang UKS;2015
Jam Dinding;1;Buah;Ruang UKS;2015
Meja;1;Buah;Ruang Organisasi;2015
Kursi;4;Buah;Ruang Organisasi;2015
Papan Tulis;1;Buah;Ruang Organisasi;2015
Lemari;1;Buah;Ruang Organisasi;2015
Jam Dinding;1;Buah;Ruang Organisasi;2015
Toilet Siswa wanita;1;Unit;Toilet;2015
Toilet Siswa Pria;1;Unit;Toilet;2015
Toilet Guru dan Karyawan;1;Unit;Toilet;2015
Gudang;1;Unit;Gudang;2015
Bendera dan Tiang Bendera;1;Set;Tempat Bermain Kesenian dan Upacara;2015
Peralatan Olahraga;1;Set;Tempat Bermain Kesenian dan Upacara;2015
Kantin;2;Unit;Kantin;2015
Tempat Parkir;1;Unit;Parkir;2015
