Nama;Jumlah;Fasilitas;Tahun
Ruang Kelas X IIS 1;1;Ruang Belajar;2017
Ruang Kelas X IIS 2;1;Ruang Belajar;2017
Ruang Kelas X IIS 3;1;Ruang Belajar;2017
Ruang Kelas X MIA;1;Ruang Belajar;2017
Ruang Kelas XI IPS 1;1;Ruang Belajar;2017
Ruang Kelas XI IPS 2;1;Ruang Belajar;2017
Ruang Kelas XI IPS 3;1;Ruang Belajar;2017
Ruang Kelas XI IPA;1;Ruang Belajar;2017
Ruang Kelas XII IPS 1;1;Ruang Belajar;2017
Ruang Kelas XII IPS 2;1;Ruang Belajar;2017
Ruang Kelas XII IPS 3;1;Ruang Belajar;2017
Ruang Kelas XII IPA;1;Ruang Belajar;2017
Ruang Perpustakaan;1;Ruang Perpustakaan;2017
Laboratorium Fisika Kimia dan Biologi;1;Ruang Laboratorium Fisika Kimia dan Biologi;2017
Laboratorium Komputer;1;Ruang Laboratorium Komputer;2017
Ruang Kerja Pimpinan;1;Ruang Pimpinan;2017
Ruang Kerja Kuriulum dan Wakakil Kepala Kurikulum;1;Ruang Kurikulum;2017
Ruang Kerja Wakil Kepala Kesiswaan;1;Ruang WAKA Kesiswaan;2017
Ruang Kerja Wakil Kepala Humas;1;Ruang WAKA Humas;2017
Ruang Kerja Wakil Kepala Sarana dan Prasarana;1;Ruang WAKA Sarana dan Prasarana;2017
Ruang Guru;1;Ruang Guru;2017
Ruang Kerja Bendahara;1;Ruang Bendahara;2017
Ruang Kerja anggota Administrasi;1;Ruang Administrasi;2017
Ruang Kerja Kepala Administrasi;1;Ruang Administrasi;2017
Ruang Aula dan Tempat Ibadah;1;Aula dan Tempat Ibadah;2017
Ruang Kerja Konseling;1;Ruang Konseling;2017
UKS;1;Ruang UKS;2017
Ruang Organisasi;1;Ruang Organisasi;2017
Toilet Siswa wanita;1;Toilet;2017
Toilet Siswa Pria;1;Toilet;2017
Toilet Guru dan Karyawan;1;Toilet;2017
Gudang;1;Gudang;2017
Tempat Bermain Kesenian dan Upacara;1;Tempat Bermain Kesenian dan Upacara;2017
Kantin;1;Kantin;2017
Tempat Parkir Utama;1;Tempat Parkir;2017
Tempat Parkir;1;Tempat Parkir;2017
