Nama;Jumlah;Fasilitas;Tahun
Ruang Kelas X IIS 1;1;Ruang Belajar;2018
Ruang Kelas X IIS 2;1;Ruang Belajar;2018
Ruang Kelas X IIS 3;1;Ruang Belajar;2018
Ruang Kelas X MIA;1;Ruang Belajar;2018
Ruang Kelas XI IPS 1;1;Ruang Belajar;2018
Ruang Kelas XI IPS 2;1;Ruang Belajar;2018
Ruang Kelas XI IPS 3;1;Ruang Belajar;2018
Ruang Kelas XI IPA;1;Ruang Belajar;2018
Ruang Kelas XII IPS 1;1;Ruang Belajar;2018
Ruang Kelas XII IPS 2;1;Ruang Belajar;2018
Ruang Kelas XII IPS 3;1;Ruang Belajar;2018
Ruang Kelas XII IPA;1;Ruang Belajar;2018
Ruang Perpustakaan;1;Ruang Perpustakaan;2018
Laboratorium Fisika;1;Ruang Laboratorium Fisika;2018
Laboratorium Kimia;1;Ruang Laboratorium Kimia;2018
Laboratorium Biologi;1;Ruang Laboratorium Biologi;2018
Laboratorium Komputer;1;Ruang Laboratorium Komputer;2018
Ruang Kerja Pimpinan;1;Ruang Pimpinan;2018
Ruang Kerja Kuriulum dan Wakakil Kepala Kurikulum;1;Ruang Kurikulum;2018
Ruang Kerja Wakil Kepala Kesiswaan;1;Ruang WAKA Kesiswaan;2018
Ruang Kerja Wakil Kepala Humas;1;Ruang WAKA Humas;2018
Ruang Kerja Wakil Kepala Sarana dan Prasarana;1;Ruang WAKA Sarana dan Prasarana;2018
Ruang Guru;1;Ruang Guru;2018
Ruang Kerja Bendahara;1;Ruang Bendahara;2018
Ruang Kerja anggota Administrasi;1;Ruang Administrasi;2018
Ruang Kerja Kepala Administrasi;1;Ruang Administrasi;2018
Ruang Aula dan Tempat Ibadah;1;Aula dan Tempat Ibadah;2018
Ruang Kerja Konseling;1;Ruang Konseling;2018
UKS;1;Ruang UKS;2018
Ruang Organisasi;1;Ruang Organisasi;2018
Toilet Siswa wanita;1;Toilet;2018
Toilet Siswa Pria;1;Toilet;2018
Toilet Guru dan Karyawan;1;Toilet;2018
Gudang;1;Gudang;2018
Tempat Bermain Kesenian dan Upacara;1;Tempat Bermain Kesenian dan Upacara;2018
Kantin;1;Kantin;2018
Tempat Parkir Utama;1;Tempat Parkir;2018
Tempat Parkir;1;Tempat Parkir;2018
